PhaseName,Sequence,Size,Scenario,RunIndex,CaseName,MetricValue,Iteration,Tool,MetricName
M2MTransformation1,4,64,BasicXform,3,StatisticBasedCase,1200292072,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation1,4,64,BasicXform,3,StatisticBasedCase,226808584,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation1,4,64,BasicXform,3,StatisticBasedCase,675786970,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation1,4,64,BasicXform,3,StatisticBasedCase,989682976,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Modification,5,64,BasicXform,3,StatisticBasedCase,858819,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,5,64,BasicXform,3,StatisticBasedCase,226807832,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,6,64,BasicXform,3,StatisticBasedCase,1184430516,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
M2MTransformation2,6,64,BasicXform,3,StatisticBasedCase,226818096,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
M2MTransformation2,6,64,BasicXform,3,StatisticBasedCase,743507250,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,AverageMemory
M2MTransformation2,6,64,BasicXform,3,StatisticBasedCase,1075970824,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,PeakMemory
Modification,7,64,BasicXform,3,StatisticBasedCase,609504,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Time
Modification,7,64,BasicXform,3,StatisticBasedCase,226818112,2,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,Memory
