Tool,Size,PhaseName,Scenario,RunIndex,CaseName,MetricName,MetricValue,Sequence,Iteration
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Time,70980597,14,5
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,Memory,25324016,14,5
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,AverageMemory,57528092,14,5
BATCH_VIATRA_QUERY_RETE-TEMPLATE,8,M2MTransformation2,BasicXform,4,StatisticBasedCase,PeakMemory,68265504,14,5
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,EMFResourceInitialization,BasicXform,2,StatisticBasedCase,Time,275204,1,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,EMFResourceInitialization,BasicXform,2,StatisticBasedCase,Memory,9611280,1,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Generation,BasicXform,2,StatisticBasedCase,Time,815483980,2,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Generation,BasicXform,2,StatisticBasedCase,Memory,33264640,2,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Initialization,BasicXform,2,StatisticBasedCase,Time,87353502,3,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Initialization,BasicXform,2,StatisticBasedCase,Memory,16008528,3,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Initialization,BasicXform,2,StatisticBasedCase,AverageMemory,53658924,3,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Initialization,BasicXform,2,StatisticBasedCase,PeakMemory,75133800,3,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,M2MTransformation1,BasicXform,2,StatisticBasedCase,Time,24732756034,4,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,M2MTransformation1,BasicXform,2,StatisticBasedCase,Memory,17146256,4,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,M2MTransformation1,BasicXform,2,StatisticBasedCase,AverageMemory,560402914,4,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,M2MTransformation1,BasicXform,2,StatisticBasedCase,PeakMemory,1091044896,4,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Modification,BasicXform,2,StatisticBasedCase,Time,267936,5,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,Modification,BasicXform,2,StatisticBasedCase,Memory,17146416,5,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,M2MTransformation2,BasicXform,2,StatisticBasedCase,Time,23668657449,6,1
BATCH_VIATRA_QUERY_LOCAL_SEARCH_WO_INDEXER-TEMPLATE,8,M2MTransformation2,BasicXform,2,StatisticBasedCase,Memory,17165608,6,1
