PhaseName,RunIndex,Size,MetricName,Sequence,Tool,Iteration,CaseName,Scenario,MetricValue
M2MTransformation2,1,16,Memory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,28268776
M2MTransformation2,1,16,AverageMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,221591512
M2MTransformation2,1,16,PeakMemory,6,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,1,StatisticBasedCase,BasicXform,371988696
Modification,1,16,Time,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,361970
Modification,1,16,Memory,7,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,28269576
M2MTransformation2,1,16,Time,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,341034836
M2MTransformation2,1,16,Memory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,28277056
M2MTransformation2,1,16,PeakMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,372035152
M2MTransformation2,1,16,AverageMemory,8,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,2,StatisticBasedCase,BasicXform,221637944
Modification,1,16,Time,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,358341
Modification,1,16,Memory,9,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,28277856
M2MTransformation2,1,16,Time,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,295556973
M2MTransformation2,1,16,Memory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,28284720
M2MTransformation2,1,16,AverageMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,221646228
M2MTransformation2,1,16,PeakMemory,10,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,3,StatisticBasedCase,BasicXform,372043440
Modification,1,16,Time,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,533611
Modification,1,16,Memory,11,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,28285544
M2MTransformation2,1,16,Time,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,364624155
M2MTransformation2,1,16,Memory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,28292672
M2MTransformation2,1,16,AverageMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,221653940
M2MTransformation2,1,16,PeakMemory,12,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,4,StatisticBasedCase,BasicXform,372051152
Modification,1,16,Time,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,398557
Modification,1,16,Memory,13,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,28293496
M2MTransformation2,1,16,Time,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,272965522
M2MTransformation2,1,16,Memory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,28300464
M2MTransformation2,1,16,AverageMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,221661832
M2MTransformation2,1,16,PeakMemory,14,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,5,StatisticBasedCase,BasicXform,372059008
EMFResourceInitialization,2,16,Time,1,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,217534
EMFResourceInitialization,2,16,Memory,1,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,11105528
Generation,2,16,Time,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,3238219875
Generation,2,16,Memory,2,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,202281832
Initialization,2,16,Time,3,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,11249
Initialization,2,16,Memory,3,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,13808016
Initialization,2,16,PeakMemory,3,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,56715944
Initialization,2,16,AverageMemory,3,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,35262080
M2MTransformation1,2,16,Time,4,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,35972739548
M2MTransformation1,2,16,Memory,4,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,17705544
M2MTransformation1,2,16,PeakMemory,4,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,3243639912
M2MTransformation1,2,16,AverageMemory,4,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,1353627775
Modification,2,16,Time,5,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,389316
Modification,2,16,Memory,5,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,17705960
M2MTransformation2,2,16,Time,6,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,35230771296
M2MTransformation2,2,16,Memory,6,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,18749200
M2MTransformation2,2,16,AverageMemory,6,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,1122731380
M2MTransformation2,2,16,PeakMemory,6,BATCH_OPTIMIZED-TEMPLATE,1,StatisticBasedCase,BasicXform,3084519048
Modification,2,16,Time,7,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,BasicXform,331220
Modification,2,16,Memory,7,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,BasicXform,18749584
M2MTransformation2,2,16,Time,8,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,BasicXform,35228561504
M2MTransformation2,2,16,Memory,8,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,BasicXform,19696080
M2MTransformation2,2,16,AverageMemory,8,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,BasicXform,983004925
M2MTransformation2,2,16,PeakMemory,8,BATCH_OPTIMIZED-TEMPLATE,2,StatisticBasedCase,BasicXform,3077556960
Modification,2,16,Time,9,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase,BasicXform,290131
Modification,2,16,Memory,9,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase,BasicXform,19696464
M2MTransformation2,2,16,Time,10,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase,BasicXform,35606123491
M2MTransformation2,2,16,Memory,10,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase,BasicXform,20841376
M2MTransformation2,2,16,AverageMemory,10,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase,BasicXform,882705962
M2MTransformation2,2,16,PeakMemory,10,BATCH_OPTIMIZED-TEMPLATE,3,StatisticBasedCase,BasicXform,3070541264
Modification,2,16,Time,11,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase,BasicXform,258373
Modification,2,16,Memory,11,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase,BasicXform,20841784
M2MTransformation2,2,16,Time,12,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase,BasicXform,35537683259
M2MTransformation2,2,16,Memory,12,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase,BasicXform,21791936
M2MTransformation2,2,16,PeakMemory,12,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase,BasicXform,3064373184
M2MTransformation2,2,16,AverageMemory,12,BATCH_OPTIMIZED-TEMPLATE,4,StatisticBasedCase,BasicXform,912558983
Modification,2,16,Time,13,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase,BasicXform,261311
Modification,2,16,Memory,13,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase,BasicXform,21792344
M2MTransformation2,2,16,Time,14,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase,BasicXform,37213046291
M2MTransformation2,2,16,Memory,14,BATCH_OPTIMIZED-TEMPLATE,5,StatisticBasedCase,BasicXform,22743800
