MetricName,PhaseName,Scenario,Tool,Size,RunIndex,Sequence,Iteration,MetricValue,CaseName
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,9,3,15947848,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,10,3,172679996,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,10,3,15976912,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,10,3,91110588,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,10,3,144797696,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,11,4,149604,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,11,4,15975704,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,12,4,153230431,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,12,4,15982016,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,12,4,144825872,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,12,4,91138616,StatisticBasedCase
Time,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,13,5,206386,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,13,5,15981832,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,14,5,149260787,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,14,5,15989560,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,14,5,144831736,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_VIATRA_QUERY_LOCAL_SEARCH-TEMPLATE,8,1,14,5,91144600,StatisticBasedCase
Time,EMFResourceInitialization,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,1,1,674196,StatisticBasedCase
Memory,EMFResourceInitialization,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,1,1,9519384,StatisticBasedCase
Time,Generation,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,2,1,3305218257,StatisticBasedCase
Memory,Generation,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,2,1,101258528,StatisticBasedCase
Time,Initialization,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,3,1,12815,StatisticBasedCase
Memory,Initialization,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,3,1,12239688,StatisticBasedCase
AverageMemory,Initialization,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,3,1,33284388,StatisticBasedCase
PeakMemory,Initialization,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,3,1,54329200,StatisticBasedCase
Time,M2MTransformation1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,4,1,37568672791,StatisticBasedCase
Memory,M2MTransformation1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,4,1,16137904,StatisticBasedCase
AverageMemory,M2MTransformation1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,4,1,1399179231,StatisticBasedCase
PeakMemory,M2MTransformation1,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,4,1,3412587920,StatisticBasedCase
Time,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,5,1,237120,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,5,1,16138024,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,6,1,35782123190,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,6,1,17180888,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,6,1,3391253184,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,6,1,999798713,StatisticBasedCase
Time,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,7,2,229369,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,7,2,17180976,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,8,2,35484968229,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,8,2,18127992,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,8,2,3384720272,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,8,2,1070851729,StatisticBasedCase
Time,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,9,3,154775,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,9,3,18127088,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,10,3,35785769678,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,10,3,19271472,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,10,3,1240495257,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,10,3,3380833152,StatisticBasedCase
Time,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,11,4,181800,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,11,4,19271584,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,12,4,36055131474,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,12,4,20221008,StatisticBasedCase
PeakMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,12,4,3372753432,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,12,4,1146624136,StatisticBasedCase
Time,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,13,5,215058,StatisticBasedCase
Memory,Modification,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,13,5,20221120,StatisticBasedCase
Time,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,14,5,35970897236,StatisticBasedCase
Memory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,14,5,21171896,StatisticBasedCase
AverageMemory,M2MTransformation2,BasicXform,BATCH_OPTIMIZED-TEMPLATE,16,2,14,5,1277399687,StatisticBasedCase
