MetricValue,Iteration,Scenario,RunIndex,Tool,Size,Sequence,MetricName,CaseName,PhaseName
214718440,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,4,AverageMemory,StatisticBasedCase,M2MTransformation1
328319,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,5,Time,StatisticBasedCase,Modification
28206152,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,5,Memory,StatisticBasedCase,Modification
356406772,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,6,Time,StatisticBasedCase,M2MTransformation2
28255208,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,6,Memory,StatisticBasedCase,M2MTransformation2
221300464,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,6,AverageMemory,StatisticBasedCase,M2MTransformation2
371484520,1,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,6,PeakMemory,StatisticBasedCase,M2MTransformation2
318165,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,7,Time,StatisticBasedCase,Modification
28256000,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,7,Memory,StatisticBasedCase,Modification
338388375,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,8,Time,StatisticBasedCase,M2MTransformation2
28263384,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,8,Memory,StatisticBasedCase,M2MTransformation2
414505192,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,8,PeakMemory,StatisticBasedCase,M2MTransformation2
242835724,2,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,8,AverageMemory,StatisticBasedCase,M2MTransformation2
316848,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,9,Time,StatisticBasedCase,Modification
28264176,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,9,Memory,StatisticBasedCase,Modification
280098302,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,10,Time,StatisticBasedCase,M2MTransformation2
28271176,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,10,Memory,StatisticBasedCase,M2MTransformation2
221358572,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,10,AverageMemory,StatisticBasedCase,M2MTransformation2
371542712,3,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,10,PeakMemory,StatisticBasedCase,M2MTransformation2
309300,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,11,Time,StatisticBasedCase,Modification
28271992,4,BasicXform,1,BATCH_VIATRA_QUERY_LOCAL_SEARCH_TRACE_STATS-TEMPLATE,16,11,Memory,StatisticBasedCase,Modification
